system	organ	exp	control
Respiratory System	Lung	3370.0	864.0
Nervous System	Nervous System	2370.0	864.0
Cardiovascular System	Heart	2250.0	864.0
Cardiovascular System	Vascular	1610.0	864.0
Visual System	Eye	1930.0	864.0
Urogenital System	Uterus	1910.0	864.0
Urogenital System	Urethra	1680.0	864.0
Urogenital System	Ovary	1380.0	864.0
Urogenital System	Testes	1250.0	864.0
Urogenital System	Kidney	1180.0	864.0
Urogenital System	Bladder	1170.0	864.0
Urogenital System	Vagina	992.0	864.0
Urogenital System	Placenta	758.0	864.0
Urogenital System	Prostate gland	679.0	864.0
Urogenital System	Penis	649.0	864.0
Exocrine System	Mammary gland	1880.0	864.0
Endocrine System	Thyroid gland	1820.0	864.0
Endocrine System	Adipose tissue	1530.0	864.0
Endocrine System	Adrenal gland	1020.0	864.0
Endocrine System	Pituitary gland	657.0	864.0
Musculoskeletal System	Skeletal Muscle	1750.0	864.0
Musculoskeletal System	Joint	942.0	864.0
Digestive System	Liver	1690.0	864.0
Digestive System	Colon	1640.0	864.0
Digestive System	Tongue	1200.0	864.0
Digestive System	Stomach	896.0	864.0
Digestive System	Pancreas	818.0	864.0
Digestive System	Salivary gland	813.0	864.0
Digestive System	Esophagus	802.0	864.0
Digestive System	Small intestine	682.0	864.0
Digestive System	Peritoneum	370.0	864.0
Olfactory System	Nervous System	1550.0	864.0
Integumentary System	Skin	1070.0	864.0
Immune System	Immune System	1060.0	864.0
