system	organ	exp	control
Nervous System	Nervous System	14400.0	1680.0
Cardiovascular System	Heart	11100.0	1680.0
Cardiovascular System	Vascular	1360.0	1680.0
Digestive System	Colon	9380.0	1680.0
Digestive System	Tongue	4640.0	1680.0
Digestive System	Liver	4010.0	1680.0
Digestive System	Pancreas	3660.0	1680.0
Digestive System	Stomach	1860.0	1680.0
Digestive System	Salivary gland	1760.0	1680.0
Digestive System	Small intestine	1640.0	1680.0
Digestive System	Esophagus	654.0	1680.0
Digestive System	Peritoneum	611.0	419.0
Musculoskeletal System	Skeletal Muscle	7540.0	1680.0
Musculoskeletal System	Joint	996.0	419.0
Urogenital System	Testes	5780.0	1680.0
Urogenital System	Kidney	4560.0	1680.0
Urogenital System	Uterus	3730.0	1680.0
Urogenital System	Bladder	3020.0	1680.0
Urogenital System	Placenta	2830.0	1680.0
Urogenital System	Urethra	2400.0	419.0
Urogenital System	Ovary	1660.0	1680.0
Urogenital System	Penis	1170.0	419.0
Urogenital System	Vagina	996.0	1680.0
Urogenital System	Prostate gland	881.0	1680.0
Endocrine System	Adrenal gland	5230.0	1680.0
Endocrine System	Thyroid gland	3760.0	1680.0
Endocrine System	Pituitary gland	2250.0	1680.0
Endocrine System	Adipose tissue	1560.0	419.0
Olfactory System	Nervous System	4490.0	1680.0
Respiratory System	Lung	3780.0	1680.0
Immune System	Immune System	3720.0	1680.0
Visual System	Eye	1660.0	1680.0
Integumentary System	Skin	1570.0	1680.0
Exocrine System	Mammary gland	1120.0	1680.0
