system	organ	exp	control
Nervous System	Nervous System	598.0	208.0
Digestive System	Colon	470.0	208.0
Digestive System	Salivary gland	325.0	208.0
Digestive System	Pancreas	255.0	208.0
Digestive System	Liver	234.0	208.0
Digestive System	Tongue	229.0	208.0
Digestive System	Small intestine	223.0	208.0
Digestive System	Peritoneum	207.0	208.0
Digestive System	Esophagus	199.0	208.0
Digestive System	Stomach	198.0	208.0
Urogenital System	Kidney	277.0	208.0
Urogenital System	Uterus	230.0	208.0
Urogenital System	Bladder	198.0	208.0
Urogenital System	Vagina	197.0	208.0
Urogenital System	Ovary	196.0	208.0
Urogenital System	Testes	196.0	208.0
Urogenital System	Prostate gland	183.0	208.0
Urogenital System	Urethra	180.0	208.0
Urogenital System	Penis	179.0	208.0
Urogenital System	Placenta	173.0	208.0
Musculoskeletal System	Skeletal Muscle	252.0	208.0
Musculoskeletal System	Joint	217.0	208.0
Cardiovascular System	Heart	250.0	208.0
Cardiovascular System	Vascular	244.0	208.0
Immune System	Immune System	239.0	208.0
Endocrine System	Pituitary gland	234.0	208.0
Endocrine System	Adipose tissue	233.0	208.0
Endocrine System	Adrenal gland	221.0	208.0
Endocrine System	Thyroid gland	191.0	208.0
Integumentary System	Skin	230.0	208.0
Respiratory System	Lung	218.0	208.0
Exocrine System	Mammary gland	202.0	208.0
Visual System	Eye	0.0	0.0
Olfactory System	Nervous System	0.0	0.0
