system	organ	exp	control
Nervous System	Nervous System	2880.0	576.0
Digestive System	Salivary gland	1310.0	576.0
Digestive System	Colon	1300.0	576.0
Digestive System	Small intestine	769.0	576.0
Digestive System	Peritoneum	697.0	430.0
Digestive System	Stomach	663.0	576.0
Digestive System	Pancreas	652.0	576.0
Digestive System	Tongue	615.0	576.0
Digestive System	Liver	516.0	576.0
Digestive System	Esophagus	462.0	576.0
Musculoskeletal System	Skeletal Muscle	1070.0	576.0
Musculoskeletal System	Joint	602.0	576.0
Immune System	Immune System	1050.0	576.0
Olfactory System	Nervous System	949.0	576.0
Urogenital System	Uterus	935.0	576.0
Urogenital System	Ovary	781.0	576.0
Urogenital System	Kidney	759.0	576.0
Urogenital System	Testes	640.0	576.0
Urogenital System	Vagina	586.0	576.0
Urogenital System	Urethra	567.0	576.0
Urogenital System	Bladder	540.0	576.0
Urogenital System	Prostate gland	513.0	576.0
Urogenital System	Penis	505.0	576.0
Urogenital System	Placenta	502.0	576.0
Cardiovascular System	Heart	926.0	576.0
Cardiovascular System	Vascular	876.0	576.0
Endocrine System	Adrenal gland	821.0	576.0
Endocrine System	Pituitary gland	788.0	576.0
Endocrine System	Thyroid gland	735.0	576.0
Endocrine System	Adipose tissue	661.0	576.0
Respiratory System	Lung	736.0	576.0
Exocrine System	Mammary gland	661.0	576.0
Integumentary System	Skin	612.0	576.0
Visual System	Eye	454.0	576.0
