system	organ	exp	control
Immune System	Immune System	1850.0	710.0
Exocrine System	Mammary gland	1680.0	710.0
Urogenital System	Uterus	1580.0	710.0
Urogenital System	Vagina	1390.0	710.0
Urogenital System	Penis	1230.0	710.0
Urogenital System	Ovary	1030.0	710.0
Urogenital System	Urethra	981.0	710.0
Urogenital System	Prostate gland	739.0	710.0
Urogenital System	Placenta	695.0	710.0
Urogenital System	Kidney	653.0	710.0
Urogenital System	Testes	542.0	710.0
Urogenital System	Bladder	387.0	710.0
Digestive System	Peritoneum	1390.0	710.0
Digestive System	Colon	1200.0	710.0
Digestive System	Esophagus	1000.0	710.0
Digestive System	Tongue	946.0	710.0
Digestive System	Small intestine	782.0	710.0
Digestive System	Stomach	745.0	710.0
Digestive System	Liver	698.0	710.0
Digestive System	Salivary gland	571.0	710.0
Digestive System	Pancreas	401.0	710.0
Musculoskeletal System	Skeletal Muscle	1350.0	710.0
Musculoskeletal System	Joint	751.0	710.0
Respiratory System	Lung	1100.0	710.0
Endocrine System	Adipose tissue	1000.0	710.0
Endocrine System	Thyroid gland	683.0	710.0
Endocrine System	Adrenal gland	552.0	710.0
Endocrine System	Pituitary gland	363.0	710.0
Cardiovascular System	Heart	946.0	710.0
Cardiovascular System	Vascular	916.0	710.0
Integumentary System	Skin	855.0	710.0
Visual System	Eye	819.0	710.0
Nervous System	Nervous System	516.0	710.0
Olfactory System	Nervous System	278.0	710.0
