system	organ	exp	control
Digestive System	Colon	693.0	266.0
Digestive System	Tongue	348.0	266.0
Digestive System	Liver	336.0	266.0
Digestive System	Pancreas	335.0	266.0
Digestive System	Salivary gland	301.0	266.0
Digestive System	Stomach	297.0	266.0
Digestive System	Small intestine	292.0	266.0
Digestive System	Esophagus	214.0	266.0
Digestive System	Peritoneum	208.0	266.0
Nervous System	Nervous System	578.0	266.0
Musculoskeletal System	Skeletal Muscle	526.0	266.0
Musculoskeletal System	Joint	270.0	266.0
Urogenital System	Uterus	447.0	266.0
Urogenital System	Testes	379.0	266.0
Urogenital System	Bladder	372.0	266.0
Urogenital System	Vagina	348.0	266.0
Urogenital System	Kidney	322.0	266.0
Urogenital System	Ovary	295.0	266.0
Urogenital System	Placenta	289.0	266.0
Urogenital System	Penis	237.0	266.0
Urogenital System	Prostate gland	232.0	266.0
Urogenital System	Urethra	198.0	266.0
Cardiovascular System	Heart	409.0	266.0
Cardiovascular System	Vascular	311.0	266.0
Olfactory System	Nervous System	403.0	266.0
Immune System	Immune System	383.0	266.0
Endocrine System	Adrenal gland	370.0	266.0
Endocrine System	Thyroid gland	350.0	266.0
Endocrine System	Pituitary gland	285.0	266.0
Endocrine System	Adipose tissue	284.0	266.0
Respiratory System	Lung	340.0	266.0
Integumentary System	Skin	263.0	266.0
Visual System	Eye	262.0	266.0
Exocrine System	Mammary gland	249.0	266.0
