system	organ	exp	control
Immune System	Immune System	1560.0	844.0
Digestive System	Colon	1510.0	844.0
Digestive System	Liver	1350.0	844.0
Digestive System	Small intestine	1200.0	844.0
Digestive System	Salivary gland	1010.0	844.0
Digestive System	Pancreas	944.0	844.0
Digestive System	Tongue	937.0	844.0
Digestive System	Stomach	906.0	844.0
Digestive System	Esophagus	788.0	844.0
Digestive System	Peritoneum	670.0	844.0
Musculoskeletal System	Skeletal Muscle	1180.0	844.0
Musculoskeletal System	Joint	785.0	844.0
Endocrine System	Adrenal gland	1130.0	844.0
Endocrine System	Pituitary gland	1060.0	844.0
Endocrine System	Thyroid gland	839.0	844.0
Endocrine System	Adipose tissue	808.0	844.0
Urogenital System	Testes	1090.0	844.0
Urogenital System	Bladder	986.0	844.0
Urogenital System	Kidney	958.0	844.0
Urogenital System	Penis	915.0	844.0
Urogenital System	Vagina	829.0	844.0
Urogenital System	Uterus	803.0	844.0
Urogenital System	Ovary	751.0	844.0
Urogenital System	Prostate gland	710.0	844.0
Urogenital System	Urethra	678.0	844.0
Urogenital System	Placenta	658.0	844.0
Nervous System	Nervous System	1080.0	844.0
Respiratory System	Lung	994.0	844.0
Integumentary System	Skin	982.0	844.0
Exocrine System	Mammary gland	897.0	844.0
Cardiovascular System	Heart	845.0	844.0
Cardiovascular System	Vascular	837.0	844.0
Visual System	Eye	0.0	0.0
Olfactory System	Nervous System	0.0	0.0
