system	organ	exp	control
Digestive System	Colon	9940.0	661.0
Digestive System	Small intestine	4520.0	456.0
Digestive System	Tongue	1550.0	661.0
Digestive System	Pancreas	1120.0	661.0
Digestive System	Esophagus	1030.0	456.0
Digestive System	Liver	938.0	661.0
Digestive System	Salivary gland	662.0	661.0
Digestive System	Stomach	652.0	661.0
Digestive System	Peritoneum	565.0	456.0
Musculoskeletal System	Skeletal Muscle	2990.0	661.0
Musculoskeletal System	Joint	452.0	661.0
Urogenital System	Kidney	2920.0	661.0
Urogenital System	Testes	1270.0	661.0
Urogenital System	Uterus	1060.0	661.0
Urogenital System	Vagina	1030.0	456.0
Urogenital System	Penis	957.0	456.0
Urogenital System	Placenta	816.0	661.0
Urogenital System	Bladder	735.0	661.0
Urogenital System	Ovary	653.0	661.0
Urogenital System	Urethra	509.0	456.0
Urogenital System	Prostate gland	471.0	661.0
Immune System	Immune System	2390.0	661.0
Nervous System	Nervous System	2170.0	661.0
Cardiovascular System	Heart	1490.0	661.0
Cardiovascular System	Vascular	864.0	661.0
Endocrine System	Thyroid gland	1460.0	661.0
Endocrine System	Adrenal gland	1310.0	661.0
Endocrine System	Pituitary gland	1090.0	456.0
Endocrine System	Adipose tissue	1070.0	661.0
Exocrine System	Mammary gland	1440.0	456.0
Respiratory System	Lung	1350.0	661.0
Olfactory System	Nervous System	1310.0	661.0
Integumentary System	Skin	1180.0	456.0
Visual System	Eye	779.0	661.0
