system	organ	exp	control
Immune System	Immune System	6410.0	303.0
Digestive System	Colon	1270.0	303.0
Digestive System	Salivary gland	640.0	303.0
Digestive System	Tongue	620.0	303.0
Digestive System	Stomach	455.0	303.0
Digestive System	Small intestine	445.0	303.0
Digestive System	Pancreas	422.0	303.0
Digestive System	Liver	368.0	303.0
Digestive System	Peritoneum	242.0	303.0
Digestive System	Esophagus	229.0	303.0
Respiratory System	Lung	656.0	303.0
Nervous System	Nervous System	651.0	303.0
Cardiovascular System	Heart	528.0	303.0
Cardiovascular System	Vascular	388.0	303.0
Endocrine System	Adipose tissue	522.0	303.0
Endocrine System	Adrenal gland	324.0	303.0
Endocrine System	Thyroid gland	309.0	303.0
Endocrine System	Pituitary gland	273.0	303.0
Olfactory System	Nervous System	516.0	303.0
Musculoskeletal System	Skeletal Muscle	453.0	303.0
Musculoskeletal System	Joint	243.0	303.0
Urogenital System	Testes	367.0	303.0
Urogenital System	Uterus	362.0	303.0
Urogenital System	Penis	342.0	232.0
Urogenital System	Bladder	325.0	232.0
Urogenital System	Kidney	302.0	303.0
Urogenital System	Urethra	300.0	303.0
Urogenital System	Ovary	271.0	303.0
Urogenital System	Placenta	271.0	303.0
Urogenital System	Vagina	265.0	303.0
Urogenital System	Prostate gland	249.0	303.0
Exocrine System	Mammary gland	339.0	303.0
Integumentary System	Skin	328.0	232.0
Visual System	Eye	276.0	303.0
