ID	Neighbors
DTXSID40412527	DTXSID70480153 DTXSID20424668 DTXSID00281751 DTXSID10573593 DTXSID00359565 DTXSID20688602 DTXSID30543854 DTXSID60493994 DTXSID30383353 DTXSID5025231 DTXSID40587704 DTXSID00334736 DTXSID90524745 DTXSID6024832 DTXSID50570743 DTXSID60688621 DTXSID30843402 DTXSID80758572 DTXSID30788788 DTXSID50383350
DTXSID70294252	DTXSID90510486 DTXSID40275194 DTXSID90645085 DTXSID90732262 DTXSID10389510 DTXSID10723516 DTXSID20488048 DTXSID00277598 DTXSID40346378 DTXSID10235927 DTXSID50223646 DTXSID50641386 DTXSID10449825 DTXSID50399971 DTXSID60843157 DTXSID10691408 DTXSID20653496 DTXSID40296844 DTXSID40318616 DTXSID10319433
DTXSID60145022	DTXSID60789783 DTXSID80878224 DTXSID20178437 DTXSID90317957 DTXSID70221629 DTXSID10879805 DTXSID80766298 DTXSID70875262 DTXSID50174543 DTXSID60806924 DTXSID60287855 DTXSID10391890 DTXSID40607436 DTXSID30840577 DTXSID60878348 DTXSID00145021 DTXSID70714480 DTXSID6057956 DTXSID20331949 DTXSID40449858
DTXSID30362289	DTXSID80224409 DTXSID80144072 DTXSID90510204 DTXSID10412615 DTXSID40219770 DTXSID00547884 DTXSID60705180 DTXSID60652549 DTXSID10873222 DTXSID10367156 DTXSID80187262 DTXSID70491986 DTXSID10365657 DTXSID80165520 DTXSID90410371 DTXSID40648728 DTXSID00808008 DTXSID30201245 DTXSID80167544 DTXSID40368999
DTXSID10701096	DTXSID10235149 DTXSID00227033 DTXSID60830002 DTXSID70572769 DTXSID60573407 DTXSID00498226 DTXSID50800855 DTXSID30884456 DTXSID00800961 DTXSID60817277 DTXSID50835864 DTXSID10511834 DTXSID60847094 DTXSID10170329 DTXSID20235150 DTXSID30816434 DTXSID90725230 DTXSID20464509 DTXSID00821858 DTXSID90236073
DTXSID10691665	DTXSID90359973 DTXSID90877465 DTXSID30691369 DTXSID00355562 DTXSID10417640 DTXSID10357759 DTXSID10682098 DTXSID30691662 DTXSID20877397 DTXSID00473654 DTXSID20690326 DTXSID70535576 DTXSID40690404 DTXSID3072167 DTXSID50203589 DTXSID50418858 DTXSID30748443 DTXSID10521059 DTXSID50690778 DTXSID40691517
DTXSID50435883	DTXSID3072452 DTXSID00544151 DTXSID50321237 DTXSID90473244 DTXSID70330028 DTXSID80684589 DTXSID70579475 DTXSID10279523 DTXSID60761509 DTXSID10752306 DTXSID60425396 DTXSID70287008 DTXSID40826180 DTXSID80319566 DTXSID30297921 DTXSID80835594 DTXSID60342216 DTXSID90692615 DTXSID70352169 DTXSID10147450
DTXSID60802385	DTXSID40382711 DTXSID80707489 DTXSID80229373 DTXSID60509468 DTXSID80838500 DTXSID90301598 DTXSID40750173 DTXSID90373119 DTXSID50361779 DTXSID80410406 DTXSID3046619 DTXSID00196078 DTXSID10421106 DTXSID60313941 DTXSID60413854 DTXSID80764234 DTXSID40364214 DTXSID60419518 DTXSID10878151 DTXSID20161945
DTXSID10662597	DTXSID60800442 DTXSID70511012 DTXSID90537315 DTXSID90468130 DTXSID80280166 DTXSID10177676 DTXSID30437648 DTXSID80421012 DTXSID00565720 DTXSID30293968 DTXSID50658459 DTXSID10229008 DTXSID20820363 DTXSID20311443 DTXSID90199659 DTXSID80849454 DTXSID00421872 DTXSID40198571 DTXSID70294732 DTXSID20314237
DTXSID20374654	DTXSID50412432 DTXSID60843339 DTXSID00689778 DTXSID90586121 DTXSID10796745 DTXSID90689782 DTXSID40683972 DTXSID80834022 DTXSID10203005 DTXSID70690013 DTXSID90399359 DTXSID50355658 DTXSID00349986 DTXSID10376021 DTXSID90482937 DTXSID50683726 DTXSID40774672 DTXSID50618957 DTXSID80748317 DTXSID50347891
DTXSID70739315	DTXSID40224849 DTXSID90617409 DTXSID10655262 DTXSID10641009 DTXSID70292915 DTXSID60218523 DTXSID80712578 DTXSID30315331 DTXSID40747427 DTXSID90160021 DTXSID90164701 DTXSID60163605 DTXSID60795228 DTXSID40702374 DTXSID90462870 DTXSID60467453 DTXSID70564689 DTXSID50386669 DTXSID70739633 DTXSID80607733
