ID	inchikey	SMILES	GHS_category	EPA_category	consensus_LD50	LD50_mgkg	MolWeight	LogOH_pred	CATMoS_VT_pred	CATMoS_NT_pred	CATMoS_EPA_pred	CATMoS_GHS_pred	CATMoS_LD50_pred	CERAPP_Ago_pred	CERAPP_Anta_pred	CERAPP_Bind_pred	Clint_pred	CoMPARA_Ago_pred	CoMPARA_Anta_pred	CoMPARA_Bind_pred	FUB_pred	LogHL_pred	LogKM_pred	LogKOA_pred	LogKoc_pred	LogBCF_pred	LogD55_pred	LogP_pred	MP_pred	pKa_a_pred	pKa_b_pred	ReadyBiodeg_pred	RT_pred	LogVP_pred	LogWS_pred	BioDeg_LogHalfLife_pred	BP_pred	nbLipinskiFailures
DTXSID1020485	JRBJSXQPQWSCCF-UHFFFAOYSA-N	COc1cc(-c2ccc(N)c(OC)c2)ccc1N	4	3	3.10392499215826	1920.0	244.121177752	-10.783522836867	0	0	3	4	3.10997788210453	0	0	0	1.09396124507089	0	1	1	0.315482446602046	-7.65032556494236	-0.67221345189033	9.1099727578092	2.87955293077451	1.72592110262691	1.52902798989222	2.04716908709168	135.736405459325	NaN	5.86119278793551	0	10.1171001056991	-8.32476141488367	-3.66601882449441	0.492945083218252	358.025919062749	0
DTXSID40829914	CURAKJNLNDACTA-UHFFFAOYSA-N	NC(CC1=NC(=NNc2ccc(S(=O)(=O)O)cc2)N=C1)C(=O)O	NA	NA	NA	NA	339.063739516	-10.3861697769405	0	1	4	5	3.59414639237425	0	0	0	-1.93384781591784	0	0	0	0.709078098537339	-10.1307533881637	-0.851669498890159	9.20192383487734	1.68496066840721	0.664892073120934	-0.112868227850757	0.000776469835233787	196.165874231673	6.02417440120226	NaN	0	-2.79042000069292	-8.11016697127838	-2.15674974709511	0.525068681899565	281.749616467163	0
DTXSID40764654	WCOLFOJRDDQQEN-UHFFFAOYSA-N	C=C(C)c1cc2cc(O)c(C(C)=O)cc2o1	NA	NA	NA	NA	216.078644244	-10.1759368334105	0	0	3	5	3.08696318022154	0	0	0	-2.00164301121469	0	1	0	0.162636231577426	-8.51609498596214	-0.669368648159994	8.60886207093271	2.75008448902176	1.06130690505808	2.98558811470741	2.98559712457779	26.7147597558125	10.1830612635248	NaN	0	10.8543725958941	-5.9317023406943	-3.52996774537525	0.546013323804602	324.128697909327	0
DTXSID00157301	CAFYSOFTDLYNFG-UHFFFAOYSA-N	CNCCOc1cc(C)nn1Cc1ccccc1	NA	NA	NA	NA	245.152812228	-10.7778522800512	0	0	3	4	2.89206575152251	0	0	0	0.315183408792818	0	1	0	0.533956426953432	-5.32493989157065	-0.493342652517447	9.50638603168919	2.20198742025668	1.13010954450535	1.34334943273505	1.87605948137392	119.971836229585	NaN	5.88195431655522	0	11.1345016149629	-6.5786625713279	-3.34758297505174	0.525714561863079	340.114994574848	0
DTXSID60465070	YTVJLUXTKBERHY-UHFFFAOYSA-N	COc1ccc(CC2CCCCC2)cc1	NA	NA	NA	NA	204.15141526	-10.8404097024005	0	1	3	5	3.19335157149527	0	1	0	1.04848551034157	0	1	1	0.0150403333193178	-3.2990866388142	0.391653531343409	7.32495776301435	2.94534164092238	2.655220843239	5.90731604874821	5.90731604874821	54.6531915059598	NaN	NaN	0	20.1248075360325	-2.52022565057044	-3.68740286345271	0.550016133587976	280.343608822222	1
DTXSID30327696	VPYVSDNWAWBSLU-UHFFFAOYSA-N	N#Cc1ccccc1SSc1ccccc1C#N	NA	NA	NA	NA	268.012890256	-11.9526215188958	0	0	3	4	3.217114818249	1	1	0	1.07761344934782	0	1	1	0.0352346482419444	-5.54271262614432	1.25150613965773	9.66997927311691	3.08597899877672	1.72846235768081	3.15324842916583	3.23308894074824	193.302932524844	6.19502933971453	NaN	0	14.7984648224694	-7.63902196166386	-5.13191951297569	1.61156730915528	358.743860070767	0
DTXSID30235863	VNDGDIVLUIAJCI-UHFFFAOYSA-N	CCOP(OCC)(c1ccccc1)(c1ccccc1)c1ccccc1	NA	NA	NA	NA	352.159216670001	-10.7736628280113	0	1	3	4	2.8217141754194	0	1	1	-0.3438663417115	0	1	1	0.0810270337993304	-5.19766969985409	0.681373226747059	11.7090255456823	2.79922772994784	2.22321010281871	4.01160197626231	4.01160197626231	127.080026506434	NaN	NaN	0	24.7760550946284	-6.4974584690033	-6.57179572895679	1.60055133030527	414.949851403432	1
DTXSID60241210	BNJYLQUDLJSQIH-UHFFFAOYSA-N	C=CC(=O)OCC(COC(=O)C=C)(COC(=O)C=C)CO[Si](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C)OCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C	NA	NA	NA	NA	1266.27975217	-10.0068828803166	0	1	4	5	3.2668726060118	0	0	0	-0.223838982298797	0	1	1	0.209279387672724	-7.9982961513653	0.339740322130022	11.6725466623064	4.50571267856818	0.840945955548273	3.1905439795972	3.1905439795972	72.7553788360674	NaN	NaN	0	18.1128038366112	-8.45774164930261	-3.56068539813824	2.16712621264807	454.807422180337	3
DTXSID50684273	PRWIPGSQLAELKB-UHFFFAOYSA-N	CCOc1cccc(-c2cc(O)cc(F)c2)c1	NA	NA	NA	NA	232.089957876	-10.7951916650141	0	0	3	4	3.02050994866403	1	1	1	1.16886307908495	0	1	1	0.0329424510217105	-6.72781738845821	-0.856179172892156	9.64539151203498	3.03863794146878	1.77240236218527	3.39230699710381	3.39231930699531	90.7237117891275	10.0475239314694	NaN	0	13.5767275877201	-5.9690461420854	-3.50335902938286	0.547844319278482	326.407371807337	0
DTXSID50890993	KXIMKQKQRACGHT-UHFFFAOYSA-N	ClC(Cl)=C(c1ccccc1Cl)c1ccccc1Cl	NA	NA	NA	NA	315.938010976	-12.1520559248941	0	0	3	4	3.08843363283699	0	1	0	-0.71049847457385	0	1	1	0.103273145373077	-5.19766268522705	1.9615372339366	9.17772067140254	5.04978232962068	4.07261914769789	6.21877193394788	6.21877193394788	89.9674222411804	NaN	NaN	0	24.9940162288905	-5.63728818640313	-6.74735408647859	1.36483737180304	338.5231134175	1
DTXSID00739944	MDQPIQKYHRZRRO-UHFFFAOYSA-N	O=C(O)c1ccc(F)cc1Sc1ccc(Cl)cc1	NA	NA	NA	NA	281.991756396	-11.0609265770242	0	0	3	5	2.89051117958754	0	1	0	-4.34632910040342	0	0	0	0.00819245028550725	-9.0254242732174	-0.999446811051927	10.618784392849	3.14137613934104	0.5408279829569	1.39825426843019	3.83439008065615	141.227738518178	3.06545802944107	NaN	0	8.70390486412137	-6.51189453944873	-4.04264061991139	0.800818683872371	312.927290062328	0
DTXSID50321595	ILAIIVNNBUHTHN-UHFFFAOYSA-N	CC(C)=CCc1ccc2c(c1)CCCN2C	NA	NA	NA	NA	215.167399672	-10.0982273452298	0	0	2	4	2.87979957414036	0	0	0	0.5861925416458	0	1	1	0.0178044135534621	-3.83992639351487	0.206934433943813	8.41267703325338	3.10701622415325	2.11183853522853	-1.97751392500871	0.821083988150701	38.5093562381947	NaN	8.29790682747763	0	15.1494354470658	-3.01162916046869	-3.40889815137447	0.501733162648464	287.892414179537	0
DTXSID70342621	BVZDXMGNBZUIEH-UHFFFAOYSA-N	CCCN1C(=O)C(C)(C)C1c1ccccc1	NA	NA	NA	NA	217.146664228	-10.8571759816093	0	0	3	4	2.78382437802803	0	0	1	-0.0661895152286084	0	0	0	0.173103652216318	-6.54772451415303	-0.385186499114179	7.38066397147703	2.36207768355465	1.17522374686167	3.05876548720107	3.0999046425278	27.1776045331138	NaN	4.49720299820864	0	12.6078875190294	-3.65607513446975	-1.97161302861734	0.525329290801425	293.971305859682	0
DTXSID80282362	HPURJWYUCHYERM-UHFFFAOYSA-N	CCOc1ccc(CC(=S)N2CCOCC2)cc1	NA	NA	NA	NA	265.113649848	-10.6180632645573	0	0	3	4	2.81151701114282	0	0	0	0.900419941625898	0	0	0	0.0960705243164568	-8.15535371195043	0.598623198184665	8.94800959235442	3.27864881090624	1.08294651913945	2.85999747455247	2.86636867148018	92.180143349248	NaN	3.66962621053313	0	13.6423713066623	-5.25861230532417	-2.35115450397958	0.690172284173407	316.244842252365	0
DTXSID30569918	QONXLVDAVMGFKH-UHFFFAOYSA-N	CCOC(=O)C1CC1C#Cc1ccccc1	NA	NA	NA	NA	214.099379688	-10.4913410138046	0	1	3	5	3.37888754029017	0	0	0	1.44673745795306	0	0	0	0.250347083270441	-4.64273923720921	-0.430814270967063	6.68145249126968	2.01884279294111	1.09151611243713	3.20010908595974	3.20010908595974	54.4276873926293	NaN	NaN	1	13.6018020174987	-2.75672497237333	-2.72077943416495	0.546355325875693	279.314809698668	0
DTXSID60148533	CBMCIRIKRUXCDP-UHFFFAOYSA-N	Cc1[nH]c2ccccc2c1C(=O)C(=O)N(C)C	NA	NA	NA	NA	230.105527688	-10.7833823489607	0	0	3	4	3.0896866743861	0	0	0	0.919684378344179	0	1	0	0.202893899102081	-9.66177749344873	-0.403952598692511	10.8331529676462	2.00644045114393	0.583821942465111	1.16633154273411	1.16633523101152	130.755429948296	10.5709588883833	NaN	0	9.23412793817416	-6.14570174844185	-3.29629422366229	0.523870264306804	354.278424306184	0
DTXSID80888287	GOWQWVLKPNPEIG-UHFFFAOYSA-N	CC(C)c1ccc(CC(C)C2OCCO2)cc1	NA	NA	3.275949224359	NA	234.161979944	-10.8434399372716	0	1	4	5	3.18956582446766	0	0	0	0.511024646227013	0	0	0	0.0307579916239407	-5.07968575743811	0.0745209062162537	7.52407530151019	2.45083084034234	2.5001163944416	3.06582800248635	3.06582800248635	37.3476485201406	NaN	NaN	0	20.1389280859439	-4.34958473745731	-3.36806181022559	0.526650889673226	283.689798297255	1
DTXSID30502668	KIYDSYLEPFRABO-UHFFFAOYSA-N	CC(C)=CC1CC1(Sc1ccccc1)Sc1ccccc1	NA	NA	NA	NA	312.100642640001	-10.0964831870717	0	0	2	4	2.86786250202905	0	1	0	1.08284386089267	0	1	1	0.0775674994152327	-6.91846782345732	-0.0370981293326927	10.3434792421901	3.98023186017223	3.00478035823305	1.588	1.588	61.8996889311027	NaN	NaN	0	25.5779243738781	-5.51142681741191	-6.59777878435487	2.00065611025162	262.98	1
