"","DIM1","DIM2"
"DTXSID70285761",6.98190486423724,2.17604621500452
"DTXSID80502951",7.00793565715034,4.70647777883439
"DTXSID60468268",7.05622631463571,-3.6655404105197
"DTXSID20198796",7.05793847758521,-1.71497420674574
"DTXSID20579187",7.04187511180753,1.98249765471516
"DTXSID70710023",6.97203631872728,0.227604264614646
"DTXSID80794410",6.98469771091084,1.3576655811779
"DTXSID70375151",6.96496284194259,-2.46871813504771
"DTXSID00300254",7.04865554230868,2.81536430918106
"DTXSID40305763",7.01153611910437,1.31244727030571
"DTXSID30548945",7.03675952369232,6.34656706163523
"DTXSID10401741",7.01528246068079,-12.2282396574517
"DTXSID40296920",6.98244232716786,1.9705959131153
"DTXSID70841866",7.0202862348227,-0.560689237356577
"DTXSID70294474",7.03137809427403,-2.40862430225453
"DTXSID30668758",7.04134670306893,-0.574433748245501
"DTXSID0048006",6.99447545060329,2.4276052265121
"DTXSID70783479",7.05924943821606,1.35061852628534
"DTXSID90173712",6.97581004166787,1.35080335681738
"DTXSID40665798",7.03696846276298,-0.24655553150463
"DTXSID10621846",7.02740135110127,-5.1461709870279
"DTXSID90607007",7.0403615226135,-0.208571571952201
"DTXSID40519383",7.06100098195554,-4.53415597510678
"DTXSID10341618",7.05588138033008,3.21327991246395
"DTXSID20665650",7.03404329517448,3.33328665595404
"DTXSID10450017",7.01279844037603,0.509088452732667
"DTXSID60822629",7.0463036535586,-1.9166044328007
"DTXSID00875634",6.98252835296279,1.20336120813897
"DTXSID00410140",7.00262768999823,-0.00401857953160761
"DTXSID10331498",7.02967283829788,2.80986542115962
"DTXSID50189839",6.97200861267058,2.81466748070609
"DTXSID90281841",6.99212049193533,0.880720699613451
"DTXSID90285283",6.99189044162732,1.96368635897261
"DTXSID50207744",7.02410696128747,2.2663295042605
"DTXSID80191667",6.98539841010601,1.55363331981483
"DTXSID10176169",7.0120710730684,-0.722187115518276
"DTXSID10825266",7.01136995040277,1.58075781312807
"DTXSID80379948",6.98064468910765,3.11141550356957
"DTXSID20510035",6.99938680596361,-1.50359508655429
"DTXSID40532875",7.03594833966515,-3.91396019756948
"DTXSID20413113",7.04769633430521,1.01884870405418
"DTXSID30405706",6.99978372172182,3.0360403536278
"DTXSID10292893",7.01311014209458,4.20517492366358
"DTXSID40651035",7.02383081433847,-1.56722240367843
"DTXSID10852890",7.04620662028486,-4.23614863548848
"DTXSID00428422",7.0346315069066,6.16281356407047
"DTXSID60201415",7.04117442730581,3.13018508449081
"DTXSID00711482",7.06005566418149,4.10007721714936
"DTXSID00286403",7.02379492446896,-0.563540276283675
"DTXSID00313581",6.98103689361238,2.29343095276359
"DTXSID90634232",7.05087734406477,3.66508549257187
"DTXSID20488063",6.96351966272352,3.6632884607952
"DTXSID70480850",7.05915788455335,4.33020996716387
"DTXSID50326843",6.98440313031336,4.80142482303228
"DTXSID90693607",7.03958245159451,3.27443966167987
"DTXSID30863504",7.01527516908593,-1.11954832937198
"DTXSID20326219",6.98538482518074,1.03510648928187
"DTXSID20202766",6.99327895175225,-0.283551325323832
"DTXSID1021326",7.00714079263213,3.4366272705353
"DTXSID20219379",6.99361267750245,-8.27469043063983
"DTXSID10883427",6.99374169351993,0.437315039406029
"DTXSID00590239",6.9863003504609,1.61656313040327
"DTXSID80551520",7.02279745396967,3.28804752254748
"DTXSID30779979",6.99211796226978,1.71934755702056
"DTXSID30726004",6.98607880621759,-2.12813931737945
"DTXSID70443920",7.02536764629253,3.51042778682443
"DTXSID00421059",7.04056206854388,-2.89717922254463
"DTXSID10470917",6.97069463490696,-6.10818916901169
"DTXSID80274686",6.97279845881069,2.82855151355497
"DTXSID90845083",6.99061605819221,3.27159027819878
"DTXSID60668584",7.00353971092243,3.42184817020199
"DTXSID40161947",7.04358507215088,0.00894175590247824
"DTXSID50479085",7.02011069471936,1.34547275988671
"DTXSID30703431",7.02632999111796,-1.22779588733665
"DTXSID60334212",6.98568284668452,-1.15922215399732
"DTXSID40518058",6.96686243678001,-2.83102689717023
"DTXSID10464639",7.05535884087536,-0.653021397264599
"DTXSID90748126",7.00333734454919,-5.53522193919731
"DTXSID40548633",7.05637260662095,3.90064921595391
"DTXSID00760374",7.02595627648227,-5.68779394470659
"DTXSID3051882",7.01482286563047,0.117855333119961
"DTXSID50601001",7.05027945210431,6.58585703052688
"DTXSID20476743",7.01898680343969,-2.50427708142893
"DTXSID30829206",7.02757450403596,1.21671465837097
"DTXSID90540263",6.99959668759986,4.04232031263682
"DTXSID90712089",7.02941168927277,0.942915208115021
"DTXSID80716455",7.04664835715172,1.90645621575929
"DTXSID70450871",7.02922649381779,-7.72128614985286
"DTXSID10805664",7.05603642692183,-5.19953930746259
"DTXSID20380477",7.04157485856414,1.93606805054322
"DTXSID30892490",6.97755130571814,1.38009710387895
"DTXSID4022286",6.98326701723703,-0.516114062137445
"DTXSID90448290",7.01151980611469,-3.50143139529673
"DTXSID60827770",6.96250957529349,1.95071211965652
"DTXSID60515529",7.01514476014402,0.641271139482642
"DTXSID40447051",6.96223896144888,-8.7409584645002
"DTXSID2059566",6.96273127619056,-3.06168615468468
"DTXSID20341543",7.02338828347118,-7.01382010621513
"DTXSID70503831",6.9736051633003,-5.8479867428532
"DTXSID70535016",7.01774431624015,5.00966204145486
"DTXSID80664568",7.0222806852175,1.0797485149626
"DTXSID50150862",6.97062610540668,-1.57969220159771
"DTXSID10437106",7.00402557486868,0.901247667129908
"DTXSID80839991",7.011599225242,-0.989900268109816
"DTXSID80731421",7.03219204351013,-2.49152676394459
"DTXSID3065908",6.98794358441788,1.16977484283998
"DTXSID50547637",7.02930092716872,-5.34223619294528
"DTXSID10183217",6.96674248018166,-2.46422354710463
"DTXSID80733480",7.06157834814525,3.23224400856165
"DTXSID00613972",6.99530233817869,2.38359310814781
"DTXSID00337540",7.02402505423424,-1.21898069869762
"DTXSID80291474",7.04944640583491,1.84036910233757
"DTXSID10668594",7.01941049997717,0.415972149170039
"DTXSID50452712",7.03604021346052,-6.11796959128971
"DTXSID40541083",7.01103585064341,-3.21302528166588
"DTXSID70415960",7.04767942850248,1.39976047874419
"DTXSID80221539",7.03800312026131,3.42158005460752
"DTXSID4021632",7.03676816967203,2.94700690248492
"DTXSID90508404",7.03072613937017,-0.291637305602923
"DTXSID10578684",6.9858764085477,-0.119161187128602
"DTXSID50437963",7.05674435191087,2.98990938262268
"DTXSID60540518",7.04638420623922,-2.18737274012211
"DTXSID30425702",7.0272688298968,1.38207942813411
"DTXSID00183963",7.0326143457427,-2.96376688149659
"DTXSID80798054",7.01595386580145,3.75963584468897
"DTXSID80519468",7.03222921215002,-5.68391094093401
"DTXSID50496858",6.96251086165718,2.65080772495797
"DTXSID0059534",7.02296230247631,-2.47336114600528
"DTXSID10195532",6.99700493088015,-0.449611719225415
"DTXSID00712434",7.0204105734741,2.20830881640657
"DTXSID50873286",6.99392267261949,-0.742744892136701
"DTXSID70426930",7.05478283288355,0.933210028426978
"DTXSID70678977",7.04957912587043,-2.75113994097053
