"","GATSp4","GATSp1","GATSp3","GATSp2","bcutm9","bcutm4","bcutm3","bcutm1","S9","GATSe2","MATSe4","MATSe5","MATSe6","MATSe7","MATSe1","MATSe2","MATSe3","MATSe8","mChi1","MATSv1","GATSe8","GATSe3","GATSe6","GATSe7","GATSe4","GATSe5","MATSm8","MATSm5","MATSm6","MATSm7","MATSm1","MATSm2","MATSm3","Smax12","Smax16","Smax15","PEOEVSA11","PEOEVSA10","Smin15","Chi6ch","Rnc","MATSm4","Smax8","EstateVSA0","EstateVSA1","EstateVSA2","EstateVSA3","S13","S17","S16","GATSm2","GATSm3","GATSm1","GATSm6","GATSm4","GATSm5","GATSm8","bcutp1","PEOEVSA9","GATSv3","GATSv2","GATSv1","GATSv4","MATSp1","IC2","Smin12","GATSe1","Hy","UI","VSAEstate9","GATSm7","J","IC0","IC1","petitjeant","Smin16","Smin8","Geto","Smax35","Smax37","Smax33","bcutv9","bcutv2","bcutv1","Smax34","GATSp5","GATSp7","GATSp6","SIC5","bcutv10","MATSv2","MATSv5","SIC0","S7","S30","Smin20","Smin23","Smin29","Smin28","MATSv8","MATSv3","SIC1","MATSv4","MATSv7","MATSv6","MRVSA4","Smax10","Smax11","Smax17","Smax18","S24","S29","Smax6","Smin53","IC4","BertzCT","ATSp7","SIC3","ATSp3","bcutv8"
"GATSp4",-0.0215218816169751,0.0614580010873395,-0.00852593854653654,0.178515253509406,0.204773814093557,0.18562716542038,-0.0782110250600655,0.100481324294183,-0.0504484592535814,0.0887717071118234,0.0421126526335527,-0.0188160096515355,-0.0297375316210443,0.0489669495414183,0.0106273839214834,-0.0161901658260674,-0.0678224926544805,0.0494335832898209,-0.0198869383847452,0.0280835604324036,-0.0166372246607695,0.0311661246689902,-0.0262498640486324,0.118274393254474,0.00075622703814898,0.0477822551364496,-0.0800777679485836,0.0525016250402323,0.0701943030756687,0.086072161483038,0.104352643233001,0.155016620661941,0.066951377179842,-0.0993907099640253,-0.0806812114276486,-0.174295572552162,0.0976193331870451,-0.199551283459092,-0.0306751639376139,0.0273307881289144,0.10319951795908,0.0592075507681804,-0.0334017990605757,-0.098671286964853,0.0761247650750822,0.0623039578401874,-0.0577379491509926,-0.0628298669961737,0.0154207893234378,-0.0538090540881548,0.00912669686085842,0.00783750102056799,0.0173133810482054,-0.0160662836682102,-0.0297059991346037,0.0165940416529516,-0.0314503787982476,0.0897325660078119,0.0261389248203681,-0.0190235211280451,-0.050147096693044,0.00027406000300062,-0.0122500929536674,0.0352965997500489,-0.0535349780477828,0.0220463960545734,-0.0620996695041892,0.0642954201593978,-0.0234213765785378,0.0517253573063372,-0.0450399994485736,0.0442262345856645,-0.0110832503971165,0.0244441387903118,0.0243785888940789,0.0238776599544294,-0.0315624686073143,0.023117641363828,-0.0433145949043019,-0.0501074064979159,0.0026305640939708,0.0364447031540817,-0.00151030815414243,0.010144657601066,-0.0968974873317828,-0.0861759413273062,0.143171957421576,0.0175943449164503,-0.0773740245054429,0.139898705560433,-0.0998730743238485,0.0361900609519165,-0.0548850742981504,0.123286542058804,-0.169152598760398,0.219597587023015,-0.0432151385075875,-0.0223166814107349,-0.0332327424142188,0.310097886681811,-0.0596721351964697,0.02867203445072,-0.00318379712887788,0.344117773862455,0.365925065574767,-0.115815410456899,-0.00613501379571447,0.061126872180798,0.0287076603669902,-0.0559031462660508,0.0042353604548254,0.147884963217412,0.0105695864824903,0.0642844566255627,0.0773785560964466,-0.00390229657401959,0.0385008659537909,0.0135499064558316,0.0177202789741077,0.00065595151736139
"GATSp1",0.0419192531643421,-0.0890445615327701,0.214664180693275,0.0718229529835475,-0.0617669346467457,-0.0785425088806626,-0.19190854841007,0.0896579490855825,0.0531900501729809,-0.0222379685019662,-0.0110870519339603,-0.116045920089614,-0.0565379290210535,-0.0397709940277252,-0.00107137488367532,-0.0869685583314127,0.172805319492669,-0.0403991205678754,0.0320084794000028,0.0533061521021437,-0.0188858346690618,0.0844088704333487,0.13252135596352,-0.078255341655156,-0.0261550932933663,0.000639757514211279,0.011143516883702,0.00127607222719655,0.0419890006016112,0.0180848395579721,-0.00600837794491616,-0.0534532163215544,-0.0812277985901226,0.0570192016431673,0.0176920320707116,0.0297674398319834,0.00139186605963085,-0.0249801324430739,0.0313895916751369,0.0473408183955242,0.152285437677338,0.0512836521052414,-0.0330268400530412,0.0312078202368764,-0.0872698050392148,0.0785251657671017,-0.0390898071609993,0.0464553369461183,0.0857313015703161,-0.0283393161399706,-0.0563197952906181,-0.0671701290895222,0.0228764266866465,0.0212965948494262,-0.00858060018841089,-0.00744391495324706,0.00488826235217749,0.0404077566282309,0.00198817254829617,0.0338484982987902,0.0287058424093516,-0.0227491650512546,-0.0527696263295491,0.104115063977683,-0.0425796867117391,-0.034783241180704,-0.0190555941427754,-0.0160046366712786,0.0089170999749683,-0.0559351033742204,0.0420322466901684,-0.0971555371348092,-0.0574552461553101,0.104311015733597,-0.0843316458992634,-0.0577611265244656,0.0236094486969993,-0.0389531401788178,0.0866122091468687,-0.00628570807283362,0.0300704647224381,0.048489532207023,-0.0172553343731964,-0.0444641188697703,-0.0258822781233424,-0.00724208367544795,-0.0971922563000625,-0.0829574853368583,-0.0269295722630154,0.0260182957559053,0.0292730267595069,0.107897632060917,0.123138968924383,-0.156834773451231,-0.173308867821182,-0.0582824443817824,-0.00627805929080495,0.0344376148202212,-0.0643793859360697,0.0574049548816742,0.0430773272897845,-0.0451122254170493,0.0611815685783993,-0.0704129643733507,0.101065669357078,0.0511857772517407,-0.0105137334336688,0.016436981451665,0.0769440410413252,-0.0648827450406926,-0.0240543072883154,0.209742242615117,0.0688770530553782,0.264805059986512,-0.283606216182612,0.113747023704946,0.0303413312415565,-0.349786500835798,-0.380670586090478,0.0103939041587704
"GATSp3",0.0161635612769553,-0.0184016420364865,0.0704282385186697,0.241187436099258,0.0565306182589394,-0.164728396107345,0.0936803999644798,-0.038042963404945,-0.149055366988518,0.13786093456644,0.058849704176118,-0.00359609982891262,-0.0295857847147082,0.0402651845533962,0.0345962827334027,0.0477611667018213,-0.0526837048979799,0.0380276656654989,-0.000505660360921839,0.0276001723487008,-0.00132605214248299,0.00286551441926461,-0.0132855934293324,0.0546092917072099,-0.0147653871332764,-0.000440794533125609,0.00989451621764594,0.0642428912533764,-0.040707089894781,-0.0487217691636145,0.0474049600479013,-0.0267921481942749,0.0919965205685389,0.0283091166895825,-0.0203337637127608,0.130115416384006,-0.142860214210626,0.319853424596122,0.0609942164548738,-0.130568747840837,0.0400717904457481,0.0411456384853905,0.0760245638796058,0.096536536709169,0.101656776204008,0.114229531552781,0.0281733074288563,-0.0513825826562484,0.0220443019751151,-0.0121132349790512,0.0323327289907848,0.0643985886921201,0.0277590573234256,-0.0630001668996969,0.0142660029367183,0.0712579986105685,0.0482205180971571,0.042852244893161,0.026720573381668,-0.00937952701771856,-0.0420567510099769,0.017165524264835,-0.0207848374255207,0.0429466521593643,0.0299809166118884,0.0673885901119167,-0.0100518939301832,-0.0171754332484305,-0.0195700918700494,0.00111931616648994,0.0121007912664223,0.016817572401145,0.0119659939532533,0.0291047222872186,-0.0148769627595989,0.0324049486796647,-0.00271208320067284,0.00858292857211159,-0.0775771622252349,-0.124713990083601,-0.0210880585023188,0.0795425631994847,0.0382336701261878,0.000889934639125395,-0.139820189910125,-0.00183574781468411,-0.117122362928567,0.0320577249730633,-0.0410663192040206,-0.0508083363723959,-0.0513558328151694,-0.0150297063214314,-0.00765792948397695,0.110002401300405,-0.303837631804355,0.292312920482919,-0.0723571539377433,0.0127375929163316,0.0311916373273415,-0.0245377706556655,0.174432323247822,0.0813744253752573,0.0204811547765102,0.00912965086493693,-0.171635828547547,0.432029345159074,-0.0590494028881678,0.169257537199888,0.0155217720113164,0.0241774089359521,0.0140258560750796,-0.0130331005149575,0.0083383665077367,0.0982977887146406,-0.00584331741808675,0.0263510803685383,0.0128514790371047,0.0999120659310444,0.0153378812365653,0.0062468803892725
"GATSp2",0.0282381816084311,-0.114178751862929,0.0830500505514905,0.152483314529055,-0.149716720395107,0.167412709546121,0.0305069140474596,-0.110319911078136,-0.0800431109165105,0.116738123238278,0.0908033966639129,-0.0773606943107556,0.00732619839359145,-0.0350554036603926,0.0930044020474827,0.014327767663618,0.0247516642065217,-0.0984242207381562,0.0448275404108594,0.0169839422065719,0.079412885180263,0.0332176991805173,0.0436481784058723,-0.00428623570627284,-0.0618103296763495,-0.0697889297932291,0.0433460759592922,-0.0205028374104646,-0.0732342988838367,-0.0394527079809457,-0.103870356773315,-0.0477455263022363,0.0469528804924704,-0.0121141516506575,0.0323275827615617,-0.0139549848686474,0.0706998144956698,-0.0465730833312674,-0.0758782886568393,-0.0447870212475424,-0.117752764084587,-0.0324223769091352,-0.0552536931434914,-0.124334781602519,-0.0872510010995836,-0.246578743918547,0.132788837050434,-0.0911465404338592,-0.0628717067199543,0.0858431271446297,0.0500768171303155,0.0194935788540931,-0.0267312712323477,0.0601495921440987,0.00831012710685044,-0.0885458275829145,0.050162007106887,-0.012501756770547,-0.181719000992243,0.0625898586793154,0.0775840412070129,-0.0386124236985048,-0.00507789241898047,0.0730948465224346,0.0444369788888653,0.104911116714278,-0.0515179112415376,0.0393747488764408,-0.0640105572421589,-0.00748914585782256,0.00718357916243045,0.0530364562628672,0.0644019724508895,0.107038667273429,0.0233474338599137,0.0147977159286834,-0.0079514753218812,-0.0020728559862873,-0.102071164585628,-0.110109120312528,0.0216138807836225,0.0675982849581974,-0.0339668158592041,-0.0527904928254728,-0.0272554814592032,-0.00237331080343485,0.0337734496101183,-0.0535032122412167,0.0577890456177228,0.136212854017776,0.0253911035931403,0.127330445779269,0.118241250150559,-0.0136789154213447,-0.206651320179308,0.0977170783630286,-0.0248695046408608,0.0108114399546436,0.0120310116184827,-0.0717091006942017,0.343654432601616,-0.11758556601393,0.100258418212928,-0.205623014527989,0.020359537861327,-0.372771748995531,0.0136866196700503,0.109100149329069,0.0140846345832,0.0277100572658799,0.0157758620764284,-0.086147947391233,-0.0258251505051551,0.116040427092271,0.0934435519150997,-0.00902378850518333,0.0197862409616704,0.0295415219222934,0.115056541355125,0.0016333002462328
"bcutm9",-0.195908828999009,-0.0353546373747739,-0.090158082521301,-0.00368468291599326,0.0515295588514061,-0.0157239502987015,-0.0120806885354527,-0.0165704437393099,9.3092406990903e-05,-0.0166617300295132,-0.0223995158812363,-0.0133227727672913,-0.08314021243349,-0.139953234990938,0.0188672983420854,-0.0408207567869428,-0.0337358507973813,0.0417296347218885,-0.118449948600194,0.044172659665366,0.0500188689520002,0.0214731210495138,0.119018256990683,-0.0358700937108162,0.125499960483207,0.0395971112518566,0.0421405248483604,-0.0225374887261731,-0.0212114321609907,0.139643116149124,-0.020661148317708,-0.0704501910487819,0.0366793509792402,0.00686357744176995,0.00665983594816726,-0.0989240345879507,-0.0461617219846196,0.0819351315256979,-0.00779804864091018,-0.0606121887846514,-0.0339472023697549,-0.101708088110973,-0.188482952462838,0.0440499268950057,-0.0536490899309973,-0.102228129033803,-0.186021013181579,-0.197919249678047,0.0126215491876979,-0.0383704132450566,-0.00133974598954249,0.159968450741594,-0.0322250563903632,0.0392556910481407,0.105990454393032,0.0685849922858092,0.0261654126915513,-0.0500563139852249,-0.0717953496858113,-0.0495563510918021,0.000510942011008426,-0.0157871398899924,-0.0814051699883051,0.00764959875386299,-0.0573435563893694,-0.110987162377977,0.0732980647199742,-0.112670179770064,-0.017007218531892,0.0323908528974935,-0.149910508012934,0.0880205651291243,-0.0358022559097567,0.108988565203117,-0.0543794893629595,-0.0186055674403371,0.0160342548443835,0.0461387813355922,0.102978760691693,-0.032914934775042,0.0325888207819492,0.027563757775379,-0.0093486416193629,0.00978238386872575,0.00753054442512078,-0.060928178771487,0.00181795047842084,0.0235576274189555,-0.056632656970912,0.00759957106849253,0.0390504660033417,-0.128559785296915,-0.130778346709626,-0.194171637966617,-0.0651787671910625,-0.0669662392045993,-0.0259026675612202,0.12249962851284,0.201628797054202,0.193289188638956,0.121349104810929,0.369105157033708,-0.144215589802572,-0.192815442848095,0.0482288912493774,-0.0127066137729216,-0.00136684237931694,-0.012457336312414,-0.0146932984801118,-0.166638504739796,-0.117241671107998,0.00129594178094495,-0.165057078061965,-0.0377731499473185,0.00716357466757236,-0.0271765602012756,0.22251841578951,0.0262934876698463,-0.0110454443546384,0.0103669915243451
"bcutm4",-0.180140372235402,-0.036647250870771,0.0838498217979013,-0.00639656301617939,0.0464751284314685,-0.0196958867889018,0.0147235016226615,-0.0286071372875091,-0.0081924853591773,0.00680319117340307,0.0409109801716139,-0.112721672630809,0.176961011189874,0.137196225279688,-0.0747912827627469,-0.0439188258768096,0.0135347943825507,-0.0498854309668811,0.0561512564830885,-0.062869384862887,-0.117267989413069,-0.0686906538723074,-0.0261475580390982,0.0524450692136527,0.0610265168963886,-0.0279377185532552,-0.122070608313087,0.00669639488556241,-0.087930402351384,-0.0196001875933775,-0.0357731746176806,-0.0288819269515125,0.0543948580014945,-0.0120649586692752,-0.0653376172928225,-0.0480883395299086,-0.131555875586991,-0.0124580541509375,0.075942693087547,0.10205071005944,0.0340792547514029,0.00910166936521325,-0.127056388782097,-0.0542794857021436,-0.036283853268572,-0.044800909432865,0.00631817156037552,-0.0818293501189229,-0.0445937115906459,0.101640938513381,-0.053203679763822,-0.0705547496818048,-0.0539068448853945,-0.183579245808366,0.104458168921685,0.0560301299614273,0.0227264354837687,-0.0612505952219335,0.00438736453848225,0.0256707198541487,-0.0342921932300396,0.0419222402569154,0.0567771368439488,-0.0227736767223624,0.0339907491799853,-0.0464699158875839,-0.0265931160037842,-0.0110785118956771,-0.0196271476142753,0.0472785439524221,0.102992132215484,-0.0632373110384852,0.12759784326713,-0.0301176990639431,-0.162751047051753,0.286169335896329,0.610413478488302,0.00925818370132581,-0.123180757632788,0.192902915304812,0.0762585175534947,0.109451616005625,-0.0656869186464776,0.0286236647600933,0.0675470647520802,-0.098033871095623,0.0731593409342809,-0.113540818832486,-0.0624573106431524,-0.0407885711370523,-0.00273661261127633,-0.0480425795389017,0.0678181409210522,0.0530867777900467,-0.0269238268841896,-0.0307339677012418,-0.00511542198665895,0.0673766016443437,8.2364422515359e-05,0.0240845635470437,-0.01245025205071,0.0283291881766703,0.0937851478036981,-0.0193057379664812,0.0372685484119229,0.0241232450877791,0.00404792278369961,-0.00920953889831402,-0.0360438917593839,0.0377338737895113,-0.0128017206188202,-0.00956285474961135,0.0178824983192387,-0.00160359567013777,-0.00638740370307726,0.0153225829624541,0.0249076096228716,0.00254040546464838,0.00454370292563727,0.00268090940751917
"bcutm3",-0.146008327361721,-0.0142972931440835,0.0604813971185763,0.0121707096563003,0.0247930580744941,-0.0248883109036117,0.0257845229216197,-0.0234638005511365,0.00024174576624362,-0.00730821671091723,0.0252628076428233,-0.123161515858812,0.168551719984097,0.189583098909616,-0.0850153074524463,-0.0508265523912399,0.0749920856596927,-0.0585095914848799,0.0876987491778557,-0.108068465787322,-0.193227025360698,-0.120465891294982,-0.0895373230166847,0.0611181121445589,0.0637753221677903,-0.053376822295604,-0.146375791013605,0.0360225101463397,-0.0970352156416268,-0.0104737076660798,-0.0080491918978012,-0.0467337707805456,0.0916736007990349,-0.00334317359509264,-0.0916347633835142,-0.048401574945993,-0.179129912112101,-0.0151382895626542,0.123840416869027,0.118046656124029,0.0765990265548758,0.0389982901776181,-0.190333152126924,-0.0789832735826458,-0.108154371254499,-0.052161614272378,0.0527483894013064,-0.116678796540649,-0.0661691677152488,0.17765970455599,-0.126787538305401,-0.156700885645185,-0.109371157234037,-0.288395048791658,0.0859585099196948,0.0341273394331664,0.0392302037227836,-0.102908694455499,-0.0223707380246381,0.0623158964163391,-0.0312828825352534,0.0376236447516379,0.188858969329744,0.0196567976919333,-0.0185687919627296,0.0117566313491495,0.11065618748346,0.00345034791838504,0.0575759011451552,-0.0182049037080346,-0.169744575767757,0.00396669025755172,-0.18561165252495,0.0223891353752695,0.153223192457562,-0.207016128149759,-0.397684788650425,-0.0570606393088418,0.0609865442108579,-0.136409830646234,-0.0051338547602121,-0.0362286638211886,0.0251538076195385,-0.0115449117057079,-0.0525357709066087,0.0837754486347412,-0.0439329035251331,0.0284499209981487,0.0504109271414837,0.0141926069339605,0.00647192273023108,-0.0118135094422438,-0.0200693847114389,-0.0308031353709552,-0.00252300109180617,-0.0101919823225234,-0.00463985445393385,0.0118587777573694,0.00674543927902873,-0.000546962192980869,-0.00854327414251134,-0.00654003850241849,0.00490695004077591,-0.0186666060597157,0.0247254996740615,0.0121166239720354,-0.000676192913263856,0.000860808197872882,-0.00112927316232756,0.0199427900354849,-0.0136919213425045,0.0112988481436839,0.0190755016619046,0.0015798858822461,-0.00710974525567566,-0.0171568921392061,0.000747707478154881,0.00201812653478081,0.00180962582945013,0.000786599947966135
"bcutm1",-0.00722064823170205,0.0576290929572784,-0.0383119072525833,0.0288705511421602,-0.0210258343369549,-0.0191441746586951,0.0141038271457571,-0.0198887908254565,-0.00803347705253841,-0.00587641661146655,-0.00897722748772802,-0.0788439793683176,0.0425793601359992,0.205848853111423,-0.099800944482392,-0.116945003061949,0.191326025203693,-0.058857923768228,0.0434125860843373,-0.288557556416997,-0.340550759697615,-0.317657325738639,-0.18359606807579,-0.0155033958931419,0.0731293062155809,-0.0567421214516221,-0.0315359890851205,-0.0171204071102277,0.00558426975509411,0.137997197583171,0.110137736569046,-0.00897621328922455,0.15507308857433,0.0395353265723443,0.0734189482523308,-0.089782717640894,-0.00169939891019232,0.0835764073075855,-0.0515396320319622,-0.16752252231842,-0.0554003883567517,-0.0423775660373163,0.0359959585291963,0.0583351782736341,0.000185269865080665,-0.0438465311656017,-0.0643975985566827,-0.0373946984597212,0.0587167858448449,-0.090862315065633,-0.0369912834918633,0.104233433055356,0.0604160284319717,0.428872621181071,-0.14083060261267,-0.184243388934969,-0.0326009804027296,0.130550091605671,-0.128418613897568,0.0436639916732352,-0.0163576938253444,-0.0407077095305039,-0.165813020722507,-0.0320271755084276,-0.010589885448005,-0.0152297924729895,-0.0619566018751917,0.0596567875289648,0.00404890321100567,-0.0406722003096333,-0.0059839807430536,0.0146368424288281,-0.0617670526197095,-0.100378322740529,-0.0981116166588713,0.00834600635980483,-0.00434483507048108,0.0426523065145395,-0.0491674544884592,-0.0878138388302858,-0.0104766941184214,0.0803649369766112,-0.00387641681613564,-0.0451665069287505,-0.0278738340297144,0.0480148326121818,0.0559692117640043,-0.0315970779443562,-2.81341710241396e-05,0.0103298029144964,0.0265444450678569,0.00126052336814562,0.00850310689807837,-0.0275148653423545,-0.00801017667764129,-0.0404403552302113,0.00992864826822226,0.0122428624533846,0.000648230823851626,-0.0148144345933781,-0.0315537723838683,-0.000866448760263297,0.0338037390816695,-0.0435303122947793,0.0355249208368339,0.0336302163748358,0.000363118630790292,-0.0285514301841943,-0.00462233710837985,0.0181836861316038,-0.0116543087967036,0.0395036922050373,-9.43579604564274e-05,0.0200346023766142,-0.0256172791714734,-0.00573516148357903,0.0107164880322255,0.0103436978550652,0.000122909996035706,0.000919178860389968
"S9",-0.0092873868291541,-0.184790069631834,-0.0273607554996482,-0.0713170331651933,0.106118097826035,-0.00597422688814526,-0.0235845405053078,-0.00252879386634818,-0.0147547185253198,0.0590351861179206,0.083867520877198,0.0489336392317723,0.168184897225593,-0.00637388440107637,0.141695516186652,-0.0138403044054013,-0.105444875137778,-0.0925983636855986,0.0357389335102169,-0.0473505735560026,-0.255453506757674,-0.0026828262570499,0.166316835792541,-0.00873184325155339,0.0116442981393944,0.0607153707951486,0.0908757589676739,-0.0453654772693117,0.0368072842225099,-0.105607522169683,-0.0197132188369007,0.0754718592542765,-0.073351462282974,-0.0225399984830712,0.0496916974353999,0.132274416644982,0.139267945825418,-0.0167768181369357,-0.305570280671106,-0.145132622734818,0.149169426827545,-0.0948932388974159,-0.184093844228239,0.101847976532003,0.0970309544204276,0.120577610547746,-0.0390839910875709,-0.0241257856542297,-0.00609949081548421,0.0534547335724056,-0.0855419905541311,-0.0429087163147289,0.0281367089602161,0.0395409846324115,0.134909251594074,-0.0226125763727103,0.00824063568951004,0.0544243110825929,0.0684709133754978,0.0199685309212598,0.0581215041667058,-0.00456551846184729,0.0934233751776341,-0.222479698683446,0.105009036653875,-0.018291203077409,-0.0442323647644657,-0.0981109752881999,-0.0389238650668544,0.0105817607822225,0.0150167771153648,-0.0562903722102659,-0.058095652629543,-0.0269923400190807,0.0500688138069747,-0.0184695035480103,-0.0131029797416428,-0.041037816571916,0.0113098138280781,-0.055875375186961,0.0659959797600478,0.0492044010513138,-0.0733912413775114,-0.0109352579355004,0.0229093077520653,-0.0615623022277686,-0.0591577307721881,-0.024060390927355,-0.00790372047910801,0.0727150444980068,0.0740521701506894,0.0358860605119181,0.0401597176399977,0.0643182644304279,0.0346708257359349,0.0394611802046567,-0.0156985207328915,0.0204827902481095,-0.042365948367815,-0.0203576149507892,0.0426178045614165,-0.131314212555039,-0.145409442031709,0.058813528275325,-0.0398062383400412,-0.00158541490301128,0.0259725637615632,0.0439840699775407,-0.113675226773861,0.0302499158733564,-0.468638556102384,0.0204792492251349,-0.0479368566835737,0.00919848688365974,0.0388918821817083,0.0526773431417507,0.011616345392512,0.0107079295056819,0.00141649492914511,0.0112007419221259
"GATSe2",0.0421020618876362,-0.102844181652288,0.0853718627651911,0.141221980488393,-0.157868949559975,0.182928284854527,0.0523350842650804,-0.12783348364597,-0.0891263353262174,0.127272292167288,0.0969922324125241,-0.0807885455851391,0.0274917962180527,-0.0137851457122279,0.0125823243181027,-0.00767198974198961,-0.00108219781481293,-0.0221270318782787,-0.029902792290536,0.0180481163949551,-0.00390390796367046,-0.0776416088216887,-0.0206121380873881,-0.0461734678624423,0.0657535954493782,-0.0229369879552607,0.0261011534432056,-0.0215302393532996,-0.0904397320983633,0.0423234895575022,0.0136527510412819,-0.0567152832794209,-0.0424355493940276,0.0784131097776961,-0.0531813616607628,0.0527793724199456,0.0129729701237357,-0.00893228177084496,-0.00639160592687735,-0.0140713508129525,0.0492423876873551,-0.0645853964186253,-0.0580911088896646,0.0441623670387723,-0.108995631965575,0.0558912027800256,-0.0938210999963361,0.0490175941779221,0.0021613288839177,-0.0865984634180729,-0.0924451370673907,-0.0286557755219762,0.00592594966316053,0.00928034380393401,-0.0176212496518273,-0.0565754686159248,-0.125131546507985,0.0221407154689819,0.0556386266587048,-0.0716006089869359,-0.18964972200625,0.0507274632222368,-0.0516900831645398,0.0129810337810969,-0.139480828101859,-0.148045675261131,-0.169587440528478,0.24152295045032,0.0846129521780286,0.207799065123197,-0.0313495451356491,0.0560222398963562,0.00288382550287785,-0.0722697408186636,0.108511576971479,-0.0158441978247778,0.0363315567669459,-0.157755010483057,0.190169009636807,0.2171615126853,0.00358225281804901,-0.195918560555771,0.0366258517056115,0.0399642070129243,0.0374469601897612,0.00754667620812708,-0.0776908917308566,0.100339219718619,-0.059835936163638,-0.0581753536755918,-0.0471733889558279,-0.0954730280213373,-0.119439559199888,0.0776697873655966,-0.0209746689792387,0.18183639661899,-0.0199991115972589,0.0323387501265473,0.0235370366069181,-0.0339443982894416,-0.0207005773460784,-0.0156976939015625,-0.0586289648973808,-0.0359231108791576,-0.0121030489396796,-0.0385216498324618,-0.00535794387279727,0.0311690461881627,-0.021390687545836,-0.000136665224902755,-0.0465270725849478,-0.14521576073689,-0.00907439058004239,-0.0786414359335997,-0.185016291774333,0.00833347281571444,-0.0229272297326881,-0.313171383559933,0.242509378700925,0.00197154641001283
