ID	inchikey	SMILES	GHS_category	EPA_category	consensus_LD50	LD50_mgkg	MolWeight	LogOH_pred	CATMoS_VT_pred	CATMoS_NT_pred	CATMoS_EPA_pred	CATMoS_GHS_pred	CATMoS_LD50_pred	CERAPP_Ago_pred	CERAPP_Anta_pred	CERAPP_Bind_pred	Clint_pred	CoMPARA_Ago_pred	CoMPARA_Anta_pred	CoMPARA_Bind_pred	FUB_pred	LogHL_pred	LogKM_pred	LogKOA_pred	LogKoc_pred	LogBCF_pred	LogD55_pred	LogP_pred	MP_pred	pKa_a_pred	pKa_b_pred	ReadyBiodeg_pred	RT_pred	LogVP_pred	LogWS_pred	BioDeg_LogHalfLife_pred	BP_pred	nbLipinskiFailures
DTXSID90896373	LQGVLRSSQVWQGC-UHFFFAOYSA-N	N#Cc1c(F)c(F)c(C(F)(C(F)(F)F)C(F)(F)F)c(F)c1F	NA	NA	NA	NA	342.98550942	-12.8291618738257	0	0	2	4	2.82526739301618	0	0	0	1.31401949191969	0	0	0	0.00286862945772749	-2.42937412507934	-0.178699252413185	3.92838529177871	3.54399097996414	3.13242996291863	5.58486743044274	5.59146198083723	-1.63169802084852	7.31529767240405	NaN	0	13.8040336459095	1.47448146793324	-3.27825886655793	0.732836497883391	184.072474591533	0
DTXSID90896378	YXTGUYDNPREZFO-UHFFFAOYSA-N	O=c1[nH]cc(C(F)(C(F)(F)F)C(F)(F)F)cc1Cl	NA	NA	NA	NA	296.979138936	-10.7837288534196	0	0	1	3	2.2173858593577	0	0	0	-0.531130012205309	0	0	0	0.0342940693032951	-4.07486929632797	-0.60050500001838	4.14521856532453	2.93584400679098	1.46983873591977	2.87958766891668	2.88341611644777	9.78793710776423	NaN	3.44715401813286	0	15.5571785931479	0.859032545619658	-3.20475025095652	0.647530591735168	196.883949605894	0
DTXSID80880463	FPGGDOYJDKTVNV-UHFFFAOYSA-N	FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC1CO1	NA	NA	NA	NA	825.9845396	-14.1935437695502	0	0	2	5	2.50916208860705	0	0	0	-1.43126544274222	0	0	0	0.00144921387451072	-7.21555719844619	0.457712905688406	4.98763486334154	5.12511265212309	3.93746749243109	5.44406374421442	5.44406374421442	-36.4126083529632	NaN	NaN	0	43.6285626022716	-0.106642282678298	-6.51813924006976	0.697769905742077	192.252439934893	2
DTXSID60378853	GFQXWORJCNTDPU-UHFFFAOYSA-N	FC(F)(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl	NA	NA	NA	NA	469.91215688	-14.7977796851103	0	1	3	4	2.69006936547056	0	0	0	-4.5374173136376	0	0	0	0.00119795373179757	-1.80035905745746	0.105787186673704	3.22107205110582	5.40241763812848	3.13480659273999	5.27375534066093	5.27375534066093	-14.431670640887	NaN	NaN	0	27.1871392063808	2.02947317209687	-5.58910492194934	0.877623983553566	148.376706478603	1
DTXSID80617574	OBGZODCYKSYLOI-UHFFFAOYSA-N	FC(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F	NA	NA	NA	NA	487.9680644	-14.0213221234625	0	0	2	5	2.64341050177062	0	0	0	-0.190992317684562	0	0	0	0.00127573985776983	-1.79615276553969	-0.345384333563371	1.40569997923429	5.1616122620967	3.71989291407435	4.7592736779502	4.7592736779502	-31.5980534872221	NaN	NaN	0	18.0512829238747	2.63062363771764	-5.78834743852869	0.914866030522368	110.54592368413	1
DTXSID20239597	HWYXDLNPCZITLD-UHFFFAOYSA-M	O=P([O-])(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F	NA	NA	NA	NA	1089.963167758	-11.8992291786756	0	1	4	5	2.47465386502436	0	0	0	-1.90903838534655	0	0	0	0.00168721077928925	-9.90320007055065	0.360363618002817	9.93910287804183	5.1225471759686	3.01006629755055	6.90030394491773	7.40437414229192	177.32215921951	5.15914879853697	NaN	0	35.0559487092516	-8.78533412800649	-5.65604579507651	0.565884117631106	287.221135089348	2
DTXSID30233046	OUJAXDQRZMGUOM-UHFFFAOYSA-N	C=CCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	NA	NA	NA	NA	304.01458338	-11.3703876943343	0	0	2	4	2.75062199697118	0	0	0	-0.214006722784612	0	0	0	0.0145099968988223	-2.94703146481887	-0.783827139334055	3.26134490212518	2.21638962088058	0.41282917338393	2.5765560794313	2.5765560794313	4.82199241374819	NaN	NaN	0	14.5209767964838	2.26500400544891	-2.91869135250368	0.666367184772669	93.7287486973127	0
DTXSID90886557	KAYHPSDEMCKVKU-UHFFFAOYSA-N	CC12CCC(C(=C(O)C(F)(F)C(F)(F)C(F)(F)F)C1=O)C2(C)C	NA	NA	NA	NA	348.09602726	-10.9686559933558	0	0	3	3	2.35759987111456	0	0	0	1.79729823139229	0	0	0	0.215966066524848	-7.81551988534971	0.363237174100327	5.86486533767289	2.81860821651174	1.78396645627849	4.72739334898976	4.72739334898976	82.7386548981384	NaN	NaN	0	23.3394702080938	-3.32153007878547	-2.89667936688131	0.550864253773841	276.255315642388	0
DTXSID50379556	NARNQFAFGNRNNN-UHFFFAOYSA-N	COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)F	NA	NA	NA	NA	260.008355128	-12.922428768725	0	0	3	3	2.86180573697109	0	0	0	1.16966797995945	0	0	0	0.0184405222666572	-2.81607750342818	-0.756568445203288	2.79412525658326	1.88271185027573	0.591556634751894	2.63940534284146	2.63940534284146	-15.036676584835	NaN	NaN	0	11.1396887300741	2.45259383460518	-2.47000174313206	0.649094851067618	79.9778412727481	0
DTXSID60895414	RAYVCZDHWHRTKY-UHFFFAOYSA-N	CCCCCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	NA	NA	NA	NA	786.271643868001	-10.8349872957899	0	1	4	5	3.4248674081464	0	0	0	1.76036398466751	0	0	0	0.0752147017020889	-6.25182033040103	0.511969283227644	10.86	4.98776282863409	1.98476174735092	7.44977031528727	7.44977031528727	-11.2668088696755	NaN	NaN	0	34.0793365801281	-10.5336390928016	-6.70554954702236	1.44973222812021	292.653855670944	2
