ID	Neighbors
DTXSID1020485	DTXSID9020299 DTXSID8020541 DTXSID3020330 DTXSID6024882 DTXSID5041778 DTXSID5023033 DTXSID5046223 DTXSID5046069 DTXSID1042154 DTXSID6021450 DTXSID4038926 DTXSID3037208 DTXSID1045162 DTXSID4048854 DTXSID5025861 DTXSID5046300 DTXSID4057841 DTXSID1038822 DTXSID1045615 DTXSID5046273
DTXSID1020483	DTXSID5047087 DTXSID7020398 DTXSID7047645 DTXSID5046510 DTXSID6045901 DTXSID6045870 DTXSID4021268 DTXSID9057769 DTXSID2038788 DTXSID3022455 DTXSID8057720 DTXSID7057785 DTXSID3048574 DTXSID1021958 DTXSID2052607 DTXSID9040718 DTXSID6046420 DTXSID0020498 DTXSID1026615 DTXSID8033803
DTXSID3037672	DTXSID7021817 DTXSID3052010 DTXSID0051570 DTXSID3051836 DTXSID3041580 DTXSID9026849 DTXSID6021583 DTXSID0024399 DTXSID1020980 DTXSID7025427 DTXSID2024797 DTXSID9021764 DTXSID0027804 DTXSID4043937 DTXSID5020601 DTXSID3026851 DTXSID2020345 DTXSID1044801 DTXSID7024798 DTXSID8025830
DTXSID8027749	DTXSID4020167 DTXSID5024134 DTXSID0027432 DTXSID3022956 DTXSID8025757 DTXSID3020750 DTXSID5051575 DTXSID4027072 DTXSID2027759 DTXSID5021756 DTXSID4051536 DTXSID9026899 DTXSID8020967 DTXSID1024918 DTXSID6041426 DTXSID8030138 DTXSID3052648 DTXSID9020459 DTXSID4047466 DTXSID8021062
DTXSID4025167	DTXSID2023143 DTXSID2045238 DTXSID6023313 DTXSID5033757 DTXSID4020119 DTXSID0025076 DTXSID6022975 DTXSID9044611 DTXSID7033105 DTXSID8044543 DTXSID3034165 DTXSID5023536 DTXSID5023039 DTXSID9046491 DTXSID1046215 DTXSID3048310 DTXSID1023368 DTXSID4027600 DTXSID3045857 DTXSID7044714
DTXSID4025165	DTXSID6044563 DTXSID9024986 DTXSID8025886 DTXSID0034300 DTXSID5023247 DTXSID1021116 DTXSID3046401 DTXSID2023222 DTXSID7025926 DTXSID8046321 DTXSID0020074 DTXSID8047428 DTXSID9057636 DTXSID0044575 DTXSID6047523 DTXSID9057680 DTXSID4023460 DTXSID8044591 DTXSID7022413 DTXSID2020420
DTXSID8027747	DTXSID8041400 DTXSID1026908 DTXSID8042187 DTXSID2026864 DTXSID3057698 DTXSID4041238 DTXSID9047124 DTXSID2026525 DTXSID2044391 DTXSID6022187 DTXSID5049366 DTXSID6024206 DTXSID3021641 DTXSID9047702 DTXSID8047551 DTXSID9045891 DTXSID3047184 DTXSID7025479 DTXSID9051618 DTXSID9026712
DTXSID4030384	DTXSID2021159 DTXSID4049032 DTXSID4021973 DTXSID6020278 DTXSID2044979 DTXSID3022162 DTXSID0024977 DTXSID5020497 DTXSID7022170 DTXSID7052319 DTXSID5041516 DTXSID7044473 DTXSID0027143 DTXSID0049024 DTXSID6038827 DTXSID1021790 DTXSID4025741 DTXSID0024052 DTXSID3027249 DTXSID5024473
DTXSID0022480	DTXSID4024062 DTXSID2021864 DTXSID0020604 DTXSID7022049 DTXSID0020737 DTXSID9040714 DTXSID7025134 DTXSID3047184 DTXSID7025136 DTXSID6022187 DTXSID4040395 DTXSID3026306 DTXSID1022479 DTXSID2044391 DTXSID3022164 DTXSID6049432 DTXSID9026710 DTXSID3026304 DTXSID0049365 DTXSID7021289
DTXSID4021426	DTXSID8024311 DTXSID8037207 DTXSID0024185 DTXSID4020901 DTXSID4025371 DTXSID0021751 DTXSID0041981 DTXSID5023875 DTXSID3033511 DTXSID7021495 DTXSID2020428 DTXSID5025609 DTXSID6034924 DTXSID7027120 DTXSID0020315 DTXSID9021637 DTXSID6034005 DTXSID2034255 DTXSID8046878 DTXSID0042406
