"","RPCS","TATP","Petitj3D","grav","ASPAN","PMI1","GETAWAY14","GETAWAY172","MORSE193","AUTOCORR3D33","PNSA1","PNSA2","W3DH","PMI2","GETAWAY60","GETAWAY119","AUTOCORR3D1","AUTOCORR3D2","ASA","PPSA1"
"RPCS",-0.0356556014308449,0.0144331752896019,-0.525004191405653,0.0172527236916831,0.08345848486558,-0.0248364656829098,0.00262502386940081,-0.13589468858308,-0.102147360966654,0.0884237949867566,0.0169568770830906,0.684803496525781,-0.396290480103136,-0.0421690940100671,-0.0287102377756504,0.122487797006163,0.184463750762819,-0.0188594502511446,-0.00223932346527636,-0.00108570080146623
"TATP",-0.0066090882168659,0.00260436668110137,-0.0414953566204538,-0.0123089373320105,0.964162063548653,-0.154043906656949,0.0662287168382594,0.111953122263861,0.132646661435055,-0.040652309776658,0.0129861139013557,-0.0814509887922795,0.038459983844701,0.0111932588884086,0.00289775008458247,-0.00318732555815046,-0.0120096631979406,-0.000190747630161466,-0.000118637989917662,-0.000678604222249366
"Petitj3D",-0.131313791011599,0.0720787397804215,-0.0365458507328447,-0.682943693425199,-0.0240017461444067,0.00586500009230788,-0.0155867264152805,-0.031221092716987,0.251900322160361,0.602836336785122,0.236752616119117,-0.0565005595081932,0.0327151438415504,-0.0137598591139545,-0.120285575406452,0.0652479078190573,-0.03847527089937,7.40962740648559e-05,0.0196681878325726,-0.00481897045701892
"grav",-0.298747122582821,0.280898423571737,0.0406026554859052,0.089875475861091,-0.00299751853107633,-0.0121709407487797,0.00878374664362501,-0.00883031938155237,-0.00031415786879241,0.0382607073359973,0.00690751356240189,-0.332465745648211,-0.562823619349779,-0.362925559155786,0.368954609883345,0.205336929430203,-0.10797831220686,0.265828437299395,0.00939312573361543,0.0239623081191538
"ASPAN",0.20412740515588,-0.101924172596168,-0.0261852191142258,-0.221487002529528,-0.0693328539618965,-0.0823811573510065,-0.0279202963134501,-0.38665797280525,0.616545130836333,-0.48373401551453,0.187698662022349,0.0416038146673226,-0.0683581460148403,-0.090037268858905,0.242045079409552,-0.090145689018417,0.0623586349983585,0.00733363233665702,0.0421660343215307,-0.00485263525774317
"PMI1",-0.293681907652071,-0.144077406644736,0.0478789082034224,0.165536586307033,0.00979055389531571,0.0102398549409193,0.00782239956157878,0.00988075887754698,-0.169038144488815,-0.152101727509008,0.844889641301641,0.0843618949966576,0.161347532378997,-0.105968007438583,-0.12032741860724,0.0681163286584607,-0.0589205091843064,0.150792941064095,-0.0751314858568586,0.0451491793038851
"GETAWAY14",0.0394588270737478,-0.513810126841961,-0.0150294394183624,0.0472942637969606,0.00508294855917535,-0.0289941795092887,0.0197373614772583,-0.0218969321292692,0.0273278618388663,0.112490622409944,-0.156173929035612,-0.10163161069122,-0.0518384282249313,-0.710662674772867,-0.339883524263329,-0.196252722312762,0.137415816362771,0.0308453694847907,-0.0211703447288281,0.00874212181664233
"GETAWAY172",0.142289198066144,-0.0964613914159011,0.0464920058755163,0.614445637322343,-0.00352897428038925,0.0320771841415111,0.0543211560569927,-0.164498222894149,0.40075194377929,0.562935538154947,0.140469471912354,0.00244308950020731,0.00174839627927554,0.144051259468269,0.1759003604318,-0.0822742639873371,0.0418924765003663,-0.00249442392421833,-0.0460614791283314,0.010455934673372
"MORSE193",-0.386255710665558,-0.0529499429332096,0.046781019626249,0.0762943349227463,-0.0165414919353952,-0.0101470949698496,0.00445068207960498,-0.0547821687681565,0.119821861517547,-0.0802133969960665,0.00835963251997931,-0.150328443824801,-0.294176037917379,0.22778180171545,-0.282064066666834,-0.135843419124178,0.114415344980563,-0.416106203875621,0.361823587315001,0.489435239803727
"AUTOCORR3D33",-0.346423832465058,-0.299135408158053,0.0286543909006903,0.00503198076145206,-0.0067678269555527,0.00411211119619468,-0.00470439672393728,-0.0204298836681299,0.0364716126182758,-0.0424525829829462,-0.0102973139473673,-0.0991424392454789,-0.199179558570233,0.194994062976819,0.00949063559639576,0.0137961452065734,0.0086850770890483,-0.301113099712251,-0.0534587570586997,-0.777505178899806
